sample_name	osd_id	hardware	cfd_hardware	flight_final	gravity_key	organ_final	cfd_scale	gravity_g	g_bl_mol_m2_s	delta_mm	sherwood	dC_CO2_mean_bl	o2_excess_ppm_bl	u_max	Ra_H2O	dC_H2O_mean	dC_H2O_peak	dC_CO2_mean	dC_CO2_peak	dC_O2_mean	dC_O2_peak	surf_dC_H2O_hw	surf_dC_CO2_hw	dishmean_CO2_hw	carbon_12h_pct_earth	A_start_umol_m2_s	A_end_umol_m2_s	net_assimilation_pct	co2_drawdown_mean_ppm	co2_drawdown_peak_ppm	o2_buildup_mean_ppm	enclosure_type	co2_depletion_min	co2_stress_hr	o2_hypoxia_days	earth_equiv_fan_cm_s	has_forced_airflow	fan_cm_s
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1	OSD-7	APEX-TAGES	BRIC	FLT	ug	hypocotyl	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2	OSD-7	APEX-TAGES	BRIC	FLT	ug	hypocotyl	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3	OSD-7	APEX-TAGES	BRIC	FLT	ug	hypocotyl	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4	OSD-7	APEX-TAGES	BRIC	FLT	ug	hypocotyl	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5	OSD-7	APEX-TAGES	BRIC	FLT	ug	hypocotyl	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_GC_Rep1	OSD-7	APEX-TAGES	BRIC	GC	earth	hypocotyl	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_GC_Rep2	OSD-7	APEX-TAGES	BRIC	GC	earth	hypocotyl	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_GC_Rep3	OSD-7	APEX-TAGES	BRIC	GC	earth	hypocotyl	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_GC_Rep4	OSD-7	APEX-TAGES	BRIC	GC	earth	hypocotyl	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Hypocotyl_GC_Rep5	OSD-7	APEX-TAGES	BRIC	GC	earth	hypocotyl	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Root_FLT_Rep1	OSD-7	APEX-TAGES	BRIC	FLT	ug	root	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Root_FLT_Rep2	OSD-7	APEX-TAGES	BRIC	FLT	ug	root	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Root_FLT_Rep3	OSD-7	APEX-TAGES	BRIC	FLT	ug	root	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Root_FLT_Rep4	OSD-7	APEX-TAGES	BRIC	FLT	ug	root	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Root_FLT_Rep5	OSD-7	APEX-TAGES	BRIC	FLT	ug	root	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Root_GC_Rep1	OSD-7	APEX-TAGES	BRIC	GC	earth	root	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Root_GC_Rep2	OSD-7	APEX-TAGES	BRIC	GC	earth	root	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Root_GC_Rep3	OSD-7	APEX-TAGES	BRIC	GC	earth	root	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Root_GC_Rep4	OSD-7	APEX-TAGES	BRIC	GC	earth	root	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Root_GC_Rep5	OSD-7	APEX-TAGES	BRIC	GC	earth	root	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Shoot_FLT_Rep1	OSD-7	APEX-TAGES	BRIC	FLT	ug	shoot	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Shoot_FLT_Rep2	OSD-7	APEX-TAGES	BRIC	FLT	ug	shoot	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
